Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
17-23 years,Male,Unemployed,2-4 hours,"['Gaming', 'Work/Professional tasks']",Rarely,Yes,Sometimes,Sometimes,Neutral,Significantly,Never,Poor,Average,Not sure,Yes,"['Support groups', 'Online therapy sessions']",Maybe,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Tips for managing digital device usage']",Encouraging reduce the stigma associated with seeking mental health help among Gen Z can lead to stronger support networks.
Under 12 years,Female,Student,4-6 hours,"['Gaming', 'Studying/Educational purposes', 'Work/Professional tasks']",Always,Sometimes,Rarely,Sometimes,Somewhat comfortable,A little,Rarely,Very good,Average,No,Yes,"['AI-powered chatbots', 'Other (please specify)']",Maybe,['Immediate emotional support'],community support and emotional support are vital for educational institutions to effectively support Gen Z's mental health.
17-23 years,Female,Employed,2-4 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Often,Sometimes,Sometimes,No,Very comfortable,Moderately,Often,Good,Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",Maybe,"['Tips for managing digital device usage', 'Other (please specify)']",One way to support Gen Z's mental health is by encourage open discussions about mental health and offer regular mental health workshops.
23-27 years,Male,Employed,Less than 2 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Always,Sometimes,Sometimes,No,Very uncomfortable,A little,Sometimes,Poor,Poor,Yes,No,['Support groups'],Maybe,"['Resources for mental health (articles, videos, etc.)']",online resources and online and offline resources are vital for communities to effectively support Gen Z's mental health.
27 years and above,Male,Unemployed,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes', 'Gaming']",Always,Sometimes,Often,No,Somewhat comfortable,A little,Always,Good,Average,No,No,['Support groups'],Yes,['Daily check-ins/mood tracking'],Integrating increase peer support programs into social media can help in supporting Gen Z's mental health.
17-23 years,Male,Student,2-4 hours,"['Gaming', 'Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Yes,Sometimes,No,Somewhat uncomfortable,A lot,Never,Good,Average,No,Yes,['Online therapy sessions'],No,['Tips for managing digital device usage'],promote a healthy balance between digital device usage and offline activities can greatly benefit the mental health of Gen Z.
23-27 years,Female,Employed,4-6 hours,"['Gaming', 'Work/Professional tasks', 'Watching videos/Movies']",Rarely,Sometimes,Sometimes,Yes,Very comfortable,Moderately,Sometimes,Average,Average,No,No,['AI-powered chatbots'],No,['Connection to professional help'],"By encourage open discussions about mental health, we can improve and stronger support networks."
Under 12 years,Female,Student,4-6 hours,['Watching videos/Movies'],Always,Yes,Never,Sometimes,Neutral,A lot,Never,Very good,Very Good,Not sure,Yes,['In-person counseling'],No,"['Other (please specify)', 'Daily check-ins/mood tracking']",Encouraging create safe spaces for Gen Z to share experiences among Gen Z can lead to stronger support networks.
17-23 years,Female,Student,4-6 hours,['Work/Professional tasks'],Sometimes,Sometimes,Often,No,Somewhat comfortable,A lot,Always,Good,Poor,No,No,"['Self-help resources (books, articles, videos)']",No,"['Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']",provide accessible and affordable mental health services can help bridge the gap in mental health support for Gen Z in educational institutions.
23-27 years,Female,Student,2-4 hours,['Work/Professional tasks'],Never,No,Often,No,Somewhat comfortable,Significantly,Sometimes,Average,Good,Yes,No,"['Online therapy sessions', 'AI-powered chatbots']",No,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",Integrating promote a healthy balance between digital device usage and offline activities into communities can help in supporting Gen Z's mental health.
Under 12 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Always,No,Sometimes,No,Very comfortable,A lot,Never,Average,Average,Yes,Yes,['Other (please specify)'],Maybe,"['Connection to professional help', 'Immediate emotional support', 'Tips for managing digital device usage']",We should reduce the stigma associated with seeking mental health help to ensure Gen Z has access to community support.
Under 12 years,Male,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Sometimes,Yes,Sometimes,Sometimes,Somewhat uncomfortable,Significantly,Often,Good,Good,Yes,Yes,"['AI-powered chatbots', 'In-person counseling']",No,['Tips for managing digital device usage'],"By develop and promote mental health apps, we can encourage and improved overall health."
23-27 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Always,Sometimes,Always,Yes,Somewhat uncomfortable,A little,Never,Poor,Average,No,No,['In-person counseling'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)']",encourage physical activities and hobbies and create mental health hotlines are crucial for enhancing mental health support for Gen Z.
27 years and above,Female,Employed,4-6 hours,['Watching videos/Movies'],Always,Yes,Often,Sometimes,Somewhat comfortable,Moderately,Never,Average,Poor,Yes,No,"['Other (please specify)', 'AI-powered chatbots']",No,['Tips for managing digital device usage'],It's important to implement mental health programs and workshops and promote mental health awareness campaigns to promote greater emotional support for Gen Z.
12-17 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Sometimes,Sometimes,Sometimes,No,Very uncomfortable,Moderately,Rarely,Average,Average,Not sure,Yes,"['Support groups', 'Self-help resources (books, articles, videos)']",Yes,['Other (please specify)'],Supporting Gen Z's mental health requires create more inclusive and diverse mental health resources and promote mental health awareness campaigns.
27 years and above,Male,Unemployed,4-6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Rarely,No,Always,Sometimes,Somewhat uncomfortable,Moderately,Sometimes,Very poor,Poor,Yes,No,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",No,"['Connection to professional help', 'Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",create safe spaces for Gen Z to share experiences can help bridge the gap in mental health support for Gen Z in online platforms.
17-23 years,Female,Employed,More than 6 hours,"['Gaming', 'Watching videos/Movies']",Sometimes,Yes,Often,No,Very uncomfortable,Moderately,Never,Good,Good,No,No,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)']",Fostering develop and promote mental health apps and create supportive community environments can lead to enhanced well-being.
27 years and above,Female,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Often,No,Somewhat comfortable,Moderately,Sometimes,Average,Average,Yes,No,"['Other (please specify)', 'Support groups']",Maybe,['Connection to professional help'],improve access to online mental health resources can greatly benefit the mental health of Gen Z.
12-17 years,Female,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Sometimes,Yes,Sometimes,No,Somewhat comfortable,Not at all,Often,Good,Average,Not sure,No,['Other (please specify)'],No,"['Immediate emotional support', 'Other (please specify)']",Providing mental health apps and educational workshops can significantly improve mental health for Gen Z.
27 years and above,Male,Employed,2-4 hours,['Watching videos/Movies'],Always,No,Often,No,Somewhat comfortable,Not at all,Always,Good,Average,No,No,['AI-powered chatbots'],Maybe,['Daily check-ins/mood tracking'],promote a healthy balance between digital device usage and offline activities can greatly benefit the mental health of Gen Z.
17-23 years,Male,Student,2-4 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Yes,Often,Sometimes,Somewhat uncomfortable,Not at all,Sometimes,Good,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)']",Maybe,['Daily check-ins/mood tracking'],"To improve mental health support for Gen Z, develop and promote mental health apps in social media."
Under 12 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Work/Professional tasks']",Never,Yes,Rarely,No,Neutral,Moderately,Often,Very good,Very Good,Yes,Yes,['Other (please specify)'],Maybe,"['Daily check-ins/mood tracking', 'Connection to professional help']",Integrating increase peer support programs into social media can help in supporting Gen Z's mental health.
23-27 years,Female,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Always,Sometimes,Sometimes,No,Very comfortable,A lot,Never,Good,Good,Not sure,Yes,"['Other (please specify)', 'Support groups']",Yes,"['Immediate emotional support', 'Tips for managing digital device usage']",encourage physical activities and hobbies can help bridge the gap in mental health support for Gen Z in healthcare settings.
23-27 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Gaming']",Sometimes,Sometimes,Often,No,Very uncomfortable,A little,Rarely,Good,Good,Not sure,No,"['In-person counseling', 'Support groups']",Maybe,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",promote mindfulness and relaxation techniques can help bridge the gap in mental health support for Gen Z in youth centers.
Under 12 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Yes,Sometimes,Sometimes,Somewhat uncomfortable,A little,Always,Poor,Average,Yes,Yes,"['Support groups', 'In-person counseling']",Yes,"['Resources for mental health (articles, videos, etc.)']",We should provide accessible and affordable mental health services to ensure Gen Z has access to mental health apps.
27 years and above,Female,Employed,2-4 hours,['Studying/Educational purposes'],Often,No,Often,No,Neutral,Not at all,Often,Average,Good,Not sure,No,['AI-powered chatbots'],Yes,"['Tips for managing digital device usage', 'Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, offer anonymous counseling services in online platforms."
23-27 years,Female,Student,4-6 hours,"['Gaming', 'Watching videos/Movies']",Rarely,Yes,Sometimes,No,Somewhat uncomfortable,Moderately,Often,Average,Average,Yes,No,['AI-powered chatbots'],Yes,"['Daily check-ins/mood tracking', 'Connection to professional help']",It's essential to provide accessible and affordable mental health services for better mental health outcomes in Gen Z.
17-23 years,Male,Student,2-4 hours,['Watching videos/Movies'],Rarely,Yes,Sometimes,Sometimes,Very uncomfortable,Moderately,Often,Average,Poor,Yes,Yes,['Support groups'],No,"['Tips for managing digital device usage', 'Other (please specify)', 'Daily check-ins/mood tracking']",Encouraging ensure mental health resources are culturally sensitive among Gen Z can lead to greater emotional support.
12-17 years,Female,Student,2-4 hours,['Watching videos/Movies'],Rarely,Yes,Sometimes,Yes,Very uncomfortable,A little,Never,Poor,Poor,No,No,['Online therapy sessions'],Yes,"['Daily check-ins/mood tracking', 'Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']",social media should prioritize increase mental health awareness and create supportive community environments for better mental health support.
17-23 years,Male,Unemployed,2-4 hours,['Gaming'],Always,Yes,Always,No,Somewhat uncomfortable,A lot,Never,Poor,Very Poor,No,No,"['Support groups', 'AI-powered chatbots']",Maybe,['Connection to professional help'],"By provide mental health training for teachers and parents, we can encourage and better mental health outcomes."
